path,annotation,dim1,dim2,value
UNKNOWN,,,,regionprofile
UNKNOWN,,Min time/rank,,0.020674
UNKNOWN,,Max time/rank,,0.020674
UNKNOWN,,Avg time/rank,,0.020674
UNKNOWN,,Total time,,0.020674
UNKNOWN,,Bytes/Rep,,8000008.000000
UNKNOWN,,Flops/Rep,,0.000000
UNKNOWN,,Iterations/Rep,,1000000.000000
UNKNOWN,,Kernels/Rep,,1.000000
UNKNOWN,,ProblemSize,,1000000.000000
UNKNOWN,,Reps,,100.000000
Base_Seq,Base_Seq,,,regionprofile
Base_Seq,Base_Seq,Min time/rank,,0.064581
Base_Seq,Base_Seq,Max time/rank,,0.064581
Base_Seq,Base_Seq,Avg time/rank,,0.064581
Base_Seq,Base_Seq,Total time,,0.064581
Base_Seq,Base_Seq,Bytes/Rep,,8000008.000000
Base_Seq,Base_Seq,Flops/Rep,,0.000000
Base_Seq,Base_Seq,Iterations/Rep,,1000000.000000
Base_Seq,Base_Seq,Kernels/Rep,,1.000000
Base_Seq,Base_Seq,ProblemSize,,1000000.000000
Base_Seq,Base_Seq,Reps,,100.000000
Base_Seq/Algorithm,Base_Seq|Algorithm,,,regionprofile
Base_Seq/Algorithm,Base_Seq|Algorithm,Min time/rank,,0.064510
Base_Seq/Algorithm,Base_Seq|Algorithm,Max time/rank,,0.064510
Base_Seq/Algorithm,Base_Seq|Algorithm,Avg time/rank,,0.064510
Base_Seq/Algorithm,Base_Seq|Algorithm,Total time,,0.064510
Base_Seq/Algorithm,Base_Seq|Algorithm,Bytes/Rep,,8000008.000000
Base_Seq/Algorithm,Base_Seq|Algorithm,Flops/Rep,,0.000000
Base_Seq/Algorithm,Base_Seq|Algorithm,Iterations/Rep,,1000000.000000
